0 0.745
50 0.986
100 0.987
150 0.987
200 0.988
250 0.988
300 0.988
350 0.988
400 0.988
450 0.988

Predicted    0    1    2    3    4    5    6    7    8    9
Actual                                                     
0          552    0    0    0    1    0    1    0    0    0
1            0  567    0    0    0    0    0    1    1    2
2            1    1  553    1    0    0    1    0    0    0
3            0    0    1  566    0    3    0    0    0    2
4            1    0    0    0  561    0    2    0    2    2
5            0    0    2    2    0  549    0    0    0    5
6            0    3    0    0    2    0  553    0    0    0
7            0    0    0    1    0    0    0  564    0    1
8            0   10    0    1    1    0    0    0  542    0
9            1    4    0    2    2    2    0    1    2  548
